Experiment,Features_Used,Training_Rows,Testing_Rows,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Average_Precision
Without_Date_Features,10,2138,1631,0.7719190680564071,0.3210412147505423,0.714975845410628,0.4431137724550898,0.7929592085979482,0.3748007754347932
Without_Date_And_Geography,8,2138,1631,0.7872470876762723,0.3317307692307692,0.6666666666666666,0.44301765650080255,0.7864523964609456,0.4050781486866075
Without_Geographical_Codes,17,2138,1631,0.8847332924586143,0.5904761904761905,0.2995169082125604,0.3974358974358974,0.788667697986213,0.43010236137690183
Baseline_All_Features,19,2138,1631,0.8896382587369712,0.651685393258427,0.28019323671497587,0.3918918918918919,0.8070550398957824,0.46527724923613145
Core_Event_Features,7,2138,1631,0.7473942366646229,0.24438902743142144,0.47342995169082125,0.3223684210526316,0.7084944770124302,0.25652664558704213
Without_Duration,17,2138,1631,0.8706315144083384,0.475,0.18357487922705315,0.26480836236933797,0.7529311187103078,0.35821348243643547
