Feature,Importance
categorical__State_Dadra and Nagar Haveli,0.00017492288375075014
"categorical__Main Cause_severe(brahmaputra,its tributaries)",0.00017353142174161138
categorical__Main Cause_torrential rain,0.0001735160013224255
"categorical__Main Cause_flood (beki,puthimari)",0.0001732765077169986
"categorical__Main Cause_severe (ne travathi, sharavathi, aghana shini. & varada rivers.",0.00017320836338491713
"categorical__Main Cause_heavy rains,flash floods",0.00016520019851657376
"categorical__Main Cause_severe flood (ganga,its tributaries)",0.00016398520367281566
"categorical__Main Cause_moderate to severe, moderate",0.00016290207415615903
categorical__Main Cause_severe flood (cloud burst),0.00016244950862506243
"categorical__Main Cause_severe (kalawli, vashishti,shastri)",0.00016201129699209177
"categorical__Main Cause_flash flood (jiadhal,semen)",0.00016145949785369384
categorical__Main Cause_narmada river in spate,0.00016017162411025615
"categorical__Main Cause_moderate(kolab,indravati)",0.000157568280867839
"categorical__Main Cause_severe flood (jiadhal,semen)",0.00015655959400067993
categorical__Main Cause_flash floods in lohit river,0.00015340619610212282
"categorical__Main Cause_flood (krishna, nagavalli, tungabhadra,vamsadhara)",0.00014989340273297691
"categorical__Main Cause_flash flood, heavy rain",0.00014877723043781748
"categorical__Main Cause_severe (betwa,kunwari)",0.00014471861349650165
categorical__Main Cause_flash flood(tambraparni river),0.0001429335935520502
categorical__Main Cause_severe flood (ker),0.00013419352180139163
categorical__Main Cause_heavy rains due to cloud burst,0.00013373821948485913
categorical__Main Cause_heavyh rains,0.00013217761467812863
"categorical__Main Cause_flash flood(brahmaputra,its tributaries)",0.00013014244669061874
categorical__Main Cause_flash flood or moderate flood,0.00012887154768922898
categorical__Main Cause_heavy rains.,0.00012619627488825443
"categorical__Main Cause_severe (ulhas,batsa-kalu)",0.00012572867817365767
"categorical__Main Cause_torential rain,heavy floods",0.00012512358029655976
"categorical__Main Cause_severe (godavari, manjira, lendi,manya)",0.00012376648274024197
"categorical__Main Cause_severe (ganga, yamuna,their tributaries)",0.00012074521670994784
categorical__Main Cause_inceasant rains,0.00011980886843440138
categorical__Main Cause_heavy rains(khari),0.0001147544785920878
categorical__Main Cause_flood (yamuna),0.00011346508102292196
"categorical__Main Cause_severe(flash flooding in palar,mahakamanta)",0.00011138623281654461
"categorical__Main Cause_flood ( ganga,phulhar)",0.00011068040603718863
"categorical__State_Bihar, Jharkhand",0.0001078435221296053
categorical__State_Chandigarh,0.00010644363253695921
categorical__Main Cause_severe (flash floods),0.00010094839874408247
"categorical__Main Cause_heavy rains, (flooding of tawi river.)",0.00010074964326933405
"categorical__Main Cause_flood(jagbudi, kajali,vashishthi)",0.00010043964361852659
categorical__Main Cause_flood (ghaghra),0.00010006839303588965
categorical__Main Cause_severe flood(brahmaputra),9.91704375625321e-05
categorical__Main Cause_flash floods in rambhan stream by a cloud burst,9.909889693190163e-05
categorical__Main Cause_moderate flood (cloud burst),9.892231706369542e-05
categorical__Main Cause_flash flood (jhelum),9.79225339207799e-05
categorical__Main Cause_moderate (kajihi),9.737348370673023e-05
"categorical__Main Cause_moderate flood (brahmani,baitarani)",9.309462182243217e-05
"categorical__Main Cause_heavy rains , severe flood",9.267719328382741e-05
"categorical__Main Cause_flood (mahanadi,its tributaries)",9.260487743061593e-05
categorical__Main Cause_flood (ujh),8.931672016868353e-05
"categorical__Main Cause_flash flood (brahmaputra,its tributaries)",8.637826812258504e-05
categorical__Main Cause_severe (mahanadi river),8.352006606018284e-05
"categorical__Main Cause_severe flood (narmada,its tributaries)",8.344623168950707e-05
categorical__Main Cause_floash flood(jinjiram andrangai),8.165024326626028e-05
categorical__Main Cause_flood (krishnavati),7.794494960024884e-05
"categorical__Main Cause_rohini, rapti, burhi gandak, sharda, ghagra in floods",7.784649948006621e-05
categorical__Main Cause_flash flood (baghmati),7.66945053678554e-05
"categorical__Main Cause_flash flood (narmada,tapi)",7.580287504902122e-05
categorical__Main Cause_incessant heavy rains,7.388377776302863e-05
"categorical__Main Cause_severe (krishna, ghatprabha,vedganga)",7.091569359804171e-05
"categorical__Main Cause_severe flood(saktola,pahumora)",6.980129572949277e-05
"categorical__Main Cause_severe(unprecedented flooding of shastri,tonvi rivers)",6.842375091697151e-05
"categorical__Main Cause_flood (bramhaputra,its tributaries, tiyak,kakajan)",6.556726235190241e-05
categorical__Main Cause_flood (ganga),6.355911282693783e-05
categorical__Main Cause_severe flood (mahanadi & its tributaries),6.335791786803219e-05
"categorical__Main Cause_severe (ujen,ojat)",6.309618716265965e-05
categorical__Main Cause_flood (gainadi ),6.030456604704258e-05
categorical__Main Cause_very severe,6.0023646265995937e-05
"categorical__Main Cause_flash flood(baksa, dhaleswari,kushiara)",5.754267218916523e-05
"categorical__State_Rajasthan, Bihar, Madhya Pradesh, Gujarat, Maharashtra, Uttar Pradesh",5.648339697012271e-05
categorical__Main Cause_incessant rains,5.420635087030702e-05
"categorical__Main Cause_flood (beas, ghagar, sutlej)",5.1460465191668334e-05
categorical__Main Cause_heavy rains following cloud burst,5.114091533661981e-05
"categorical__Main Cause_severe flood (bias, satlaj,ravi)",5.008482279109291e-05
"categorical__Main Cause_flash flood (bagmati, kamla balan, mahanadi, burhi gandak,adhwara)",4.927024247177149e-05
categorical__Main Cause_severe floods in dhundh river.,4.869921136275284e-05
"categorical__Main Cause_severe, heavy rains",4.866039350601171e-05
"categorical__State_Uttar Pradesh, Bihar, Odisha, West Bengal",4.8218412431958436e-05
"categorical__Main Cause_flash flood (bhorali,gangadhar)",4.808589134939326e-05
categorical__Main Cause_heavy  rains,4.5479475653030624e-05
categorical__Main Cause_continuous heavy rains,4.540557713507856e-05
"categorical__Main Cause_severe flood(mahanadi,its triutaries)",4.3492293525669234e-05
"categorical__Main Cause_severe(godavari, krishna, bhima, pravara, koyna, manjura, manwad, lendi, kayadu, penganga,warna)",4.199962325027955e-05
"categorical__Main Cause_flodds in rapti, burhi,ghagra rivers",4.009360185906299e-05
"categorical__Main Cause_severe flood (dikhow, desang, brahmaputra)",3.907593007143971e-05
"categorical__Main Cause_flood (karamana, neyyak,vamanapuram)",3.793887798740976e-05
"categorical__Main Cause_modern floods, flash floods, heavy rains",3.743190478350568e-05
categorical__Main Cause_severe(all the major rivers),3.601189971374043e-05
categorical__Main Cause_severe flood(tapi),3.5783180727148524e-05
"categorical__State_Goa, Daman and Diu",3.5119632559474805e-05
categorical__Main Cause_severe(flooding of all major rivers),3.5097511231890046e-05
"categorical__Main Cause_severe flood( ganga,its tributaries)",3.353894739774257e-05
"categorical__Main Cause_severe flood(adhwara, burhi gandak, gandak, kosi,pun pun",3.0178984198362427e-05
categorical__Main Cause_flash flood (krishna),2.984309035373192e-05
"categorical__State_Goa, Daman & Diu",2.971373975725608e-05
categorical__Main Cause_severe flood (kosi),2.9604159608952943e-05
"categorical__Main Cause_moderate flood(ganga, yamuna,sohali)",2.6885885598777597e-05
"categorical__State_Himachal Pradesh, Uttar Pradesh, Bihar,  West Bengal",2.5604151028161312e-05
