Feature,Importance
categorical__Main Cause_flood(dhasan),0.0001731097662406
categorical__Main Cause_torrential rains,0.0001666356076768
"categorical__Main Cause_flood (ganga, yamuna,sarayu)",0.0001639330707486
"categorical__Main Cause_severe(baksa,its tributaries)",0.0001622073397971
"categorical__Main Cause_moderate(brahmi,baitarni)",0.0001569892751166
categorical__Main Cause_severe (godavari),0.0001547756830211
"categorical__Main Cause_heavy rains, severe flood",0.0001525982679452
"categorical__Main Cause_heavy rains, flash flood",0.0001522961271277
"categorical__Main Cause_heavy rains, floods & landslides",0.0001516771378285
"categorical__Main Cause_severe flood (satluj, yamuna)",0.0001514462378403
"categorical__Main Cause_severe floods, heavy rains",0.0001507391301157
categorical__State_Goa,0.0001497416155821
categorical__Main Cause_severe flood (cloud burst),0.0001488368871313
"categorical__Main Cause_heavy rains & floods (brahmaputra,tributaries)",0.0001481776740862
"categorical__Main Cause_flood( brahmaputra,tributaries)",0.0001470319353083
categorical__Main Cause_heavy rains & floods in krishna & its tributaries,0.0001442686461706
"categorical__Main Cause_heavy rains & floods (rapti,beas, etc river)",0.0001437731665189
"categorical__Main Cause_heavy rains & flash floods (in tons, pabbar river) & landslide",0.0001437124903223
"categorical__Main Cause_flood (krishna, nagavalli, tungabhadra,vamsadhara)",0.00014327930461
"categorical__Main Cause_heavy rains, floods & landslide",0.0001420416183588
categorical__Main Cause_severe(flash flooding),0.0001395555098686
"categorical__Main Cause_moderate floods in chenab,tawi rivers",0.0001376023572237
"categorical__Main Cause_severe flood (bharali, jaidhal, jia, semen)",0.0001320988955617
"categorical__Main Cause_heavy rains,flash floods",0.0001316496367619
categorical__Main Cause_floash flood(jinjiram andrangai),0.0001300640414953
categorical__Main Cause_flood (yamuna),0.0001276263187297
categorical__Main Cause_flood (cloud burst),0.0001259731794378
"categorical__Main Cause_severe (krishna, ghatprabha,vedganga)",0.0001249188668767
"categorical__Main Cause_severe (kalawli, vashishti,shastri)",0.0001233139326305
"categorical__Main Cause_heavy rains,moderate floods",0.0001230595279702
"categorical__Main Cause_flood (singra,soansiri rivers)",0.000122942813765
categorical__Main Cause_heavy rains & landslides,0.0001204313362082
"categorical__Main Cause_floods in koshi, bagmati, mahananda & gandak river due to heavy rain in nepal",0.0001182580322172
"categorical__Main Cause_heavy to very rainfall/flash floods (saraswati,mandakini rivers,its tributaries triggered by very heavy rainfall,lake burst), cloudburst on jun16 &17 jun, massive landslides,avalanches reported at multiple places.",0.000117537470564
"categorical__Main Cause_heavy rains , severe flood",0.0001170934827145
"categorical__Main Cause_flood(jagbudi, kajali,vashishthi)",0.0001157092413892
"categorical__Main Cause_moderate(kolab,indravati)",0.0001144446238537
"categorical__Main Cause_flood (brahmaputra,its tributaries)",0.0001129648642312
"categorical__Main Cause_flood (bramhaputra,its tributaries, tiyak,kakajan)",0.0001118899406755
