Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Districts,State,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,District_LGD_Codes,State_Codes,Start_Year,Start_Month,Start_Day,High_Impact
4702,UEI-IMD-FL-2016-0100,2016-07-30,2016-07-31,2.0,heavy rains,Mumbai,Maharashtra,1.0,4.0,,,One person died as tree fell on him & 4 others injured.,i) Damage to Ground-plus-three structure building & security cabin reported ii) A car & an auto-rickshaw damaged as tree fell on it.,IMD,482.0,27.0,2016.0,7.0,30.0,0
4703,UEI-IMD-FL-2016-0101,2016-08-01,2016-08-01,1.0,heavy rains,Thane,Maharashtra,9.0,10.0,,,9 persons died & 10 others injured.,i) Dilapidated building collapsed. ii) Water logging in low lying areas reported.,IMD,497.0,27.0,2016.0,8.0,1.0,0
4706,UEI-IMD-FL-2016-0104,2016-09-24,2016-09-26,3.0,heavy rain & flash flood,Parts of Maharashtra,Maharashtra,2.0,,,,2 persons died.,,IMD,,27.0,2016.0,9.0,24.0,0
4708,UEI-IMD-FL-2016-0106,2016-05-23,2016-05-23,1.0,landslide,Aizawl,Mizoram,3.0,1.0,,,3 persons died & one other injured.,Airport approach road National Highway -54 remained closed.,IMD,261.0,15.0,2016.0,5.0,23.0,0
4709,UEI-IMD-FL-2016-0107,2016-09-18,2016-09-18,1.0,landslip,Aizawl,Mizoram,5.0,,,,5 persons died.,Roads blocked. Traffic & power supply disrupted.,IMD,261.0,15.0,2016.0,9.0,18.0,0
4710,UEI-IMD-FL-2016-0108,2016-08-03,2016-08-08,6.0,heavy rains,"Koraput, Sambalpur",Odisha,2.0,,,,"2 persons died, one in each dist",10 villages from Alwar district & 36 villages from Baran districts cut off from nearby areas,IMD,,21.0,2016.0,8.0,3.0,0
4715,UEI-IMD-FL-2016-0113,2016-08-06,2016-08-20,15.0,heavy rains,"Baran, Jhalawar, Pali",Rajasthan,11.0,,,,"Total 11 persons died in different incidents. Baran - 6, Jhalawar - 4, Pali ������������������ 1",House collapsed in Baran Dist.,IMD,,8.0,2016.0,8.0,6.0,1
4717,UEI-IMD-FL-2016-0115,2016-06-11,2016-06-13,3.0,"flood(kuzhithurai ,sitraru rivers)",Kanniyakumariumari,Tamil Nadu,3.0,,,,3 persons died.,"Kulasekaram,Tiruvattar towns were inundated.",IMD,,33.0,2016.0,6.0,11.0,0
4718,UEI-IMD-FL-2016-0116,2016-07-26,2016-07-26,1.0,heavy rains,Krishnagiri,Tamil Nadu,2.0,,,,2 persons died in Hosur municipal corporation in Krishnagiri Dist.,,IMD,577.0,33.0,2016.0,7.0,26.0,0
4721,UEI-IMD-FL-2016-0119,2016-09-01,2016-09-30,30.0,heavy rains & floods,"Hyderabad, Kamareddy, Karimnagar, Medak, Medchal Malkajgiri, Nalgonda, Nizamabad, Sangareddy, Vikarabad, Warangal, Yadadri Yadadri Bhuvanagiri",Telangana,49.0,9.0,,6733,"Total 49 persons died & 9 others injured. 6733 animals perished.Hyderabad - 1, Kamareddy- 4, Karimnagar - 6, Mahbubnagar -2, Medak - 4, Medchal - 6, Nalgonda - 2, Nizamabad - 3, Sangareddy- 16, Vikarabad - 3, Warangal Rural - 1,Yadadri -1.",i) Damage to 2.60 lakh hectares of crops reported. ii) Damage to 37991 houses reported. iii) Damage to 644 boats & 1493 nets reported. iv) Damage to roads reported. v) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.,IMD,,36.0,2016.0,9.0,1.0,1
