Model,Accuracy,Precision,Recall,F1,ROC_AUC,False_Negatives,False_Positives
Optimized Random Forest,0.9451476793248945,0.9453681710213777,0.9925187032418953,0.9683698296836983,0.9910156116557921,3,23
Random Forest,0.9430379746835443,0.9452380952380952,0.9900249376558603,0.9671132764920828,0.9911180951730263,4,23
Gradient Boosting,0.9409282700421941,0.9429928741092637,0.9900249376558603,0.9659367396593674,0.9597239777269155,4,24
Logistic Regression,0.9451476793248945,0.9539951573849879,0.9825436408977556,0.9680589680589681,0.9912205786902606,7,19
