Feature,Importance
categorical__Main Cause_floods in ganga & tributaries,0.00017789185466337402
"categorical__Main Cause_torential rain,heavy floods",0.00017497719974158757
categorical__Main Cause_severe flood (ker),0.0001745682348218917
categorical__Main Cause_flood(dhasan),0.00017310976624060285
categorical__Main Cause_torrential rains,0.00016663560767685707
"categorical__Main Cause_flood (ganga, yamuna,sarayu)",0.0001639330707486323
"categorical__Main Cause_severe(baksa,its tributaries)",0.000162207339797161
"categorical__Main Cause_moderate(brahmi,baitarni)",0.0001569892751166453
categorical__Main Cause_severe (godavari),0.00015477568302117286
"categorical__Main Cause_heavy rains, severe flood",0.00015259826794529601
"categorical__Main Cause_heavy rains, flash flood",0.00015229612712776102
"categorical__Main Cause_heavy rains, floods & landslides",0.00015167713782858399
"categorical__Main Cause_severe flood (satluj, yamuna)",0.00015144623784032408
"categorical__Main Cause_severe floods, heavy rains",0.00015073913011573196
categorical__State_Goa,0.0001497416155821373
categorical__Main Cause_severe flood (cloud burst),0.000148836887131342
"categorical__Main Cause_heavy rains & floods (brahmaputra,tributaries)",0.00014817767408621815
"categorical__Main Cause_flood( brahmaputra,tributaries)",0.00014703193530838193
categorical__Main Cause_heavy rains & floods in krishna & its tributaries,0.00014426864617067022
"categorical__Main Cause_heavy rains & floods (rapti,beas, etc river)",0.00014377316651891086
"categorical__Main Cause_heavy rains & flash floods (in tons, pabbar river) & landslide",0.00014371249032231085
"categorical__Main Cause_flood (krishna, nagavalli, tungabhadra,vamsadhara)",0.00014327930461006984
"categorical__Main Cause_heavy rains, floods & landslide",0.00014204161835883135
categorical__Main Cause_severe(flash flooding),0.0001395555098686783
"categorical__Main Cause_moderate floods in chenab,tawi rivers",0.00013760235722378575
"categorical__Main Cause_severe flood (bharali, jaidhal, jia, semen)",0.0001320988955617668
"categorical__Main Cause_heavy rains,flash floods",0.0001316496367619703
categorical__Main Cause_floash flood(jinjiram andrangai),0.00013006404149539354
categorical__Main Cause_flood (yamuna),0.00012762631872974316
categorical__Main Cause_flood (cloud burst),0.00012597317943783184
"categorical__Main Cause_severe (krishna, ghatprabha,vedganga)",0.0001249188668767221
"categorical__Main Cause_severe (kalawli, vashishti,shastri)",0.00012331393263051855
"categorical__Main Cause_heavy rains,moderate floods",0.00012305952797020324
"categorical__Main Cause_flood (singra,soansiri rivers)",0.0001229428137650782
categorical__Main Cause_heavy rains & landslides,0.00012043133620829609
"categorical__Main Cause_floods in koshi, bagmati, mahananda & gandak river due to heavy rain in nepal",0.00011825803221725623
"categorical__Main Cause_heavy to very rainfall/flash floods (saraswati,mandakini rivers,its tributaries triggered by very heavy rainfall,lake burst), cloudburst on jun16 &17 jun, massive landslides,avalanches reported at multiple places.",0.00011753747056400312
"categorical__Main Cause_heavy rains , severe flood",0.00011709348271454307
"categorical__Main Cause_flood(jagbudi, kajali,vashishthi)",0.00011570924138922272
"categorical__Main Cause_moderate(kolab,indravati)",0.00011444462385372236
"categorical__Main Cause_flood (brahmaputra,its tributaries)",0.00011296486423120209
"categorical__Main Cause_flood (bramhaputra,its tributaries, tiyak,kakajan)",0.00011188994067559766
"categorical__Main Cause_heavy rains, flood & landslides",0.00011156655380817226
"categorical__Main Cause_severe(brahmaputra,its tributaries)",0.00010862487502148658
"categorical__Main Cause_severe (betwa,kunwari)",0.00010850103522429414
categorical__Main Cause_heavy rains & floods in narmada & tributaries,0.00010776817358793762
"categorical__Main Cause_flash flood, heavy rain",0.00010482648037946165
categorical__State_Nagaland,0.00010410738642054358
"categorical__Main Cause_flood (ghagra,sharada)",0.00010289851850091511
"categorical__Main Cause_severe flood(brahmaputra,its tributaries)",0.00010032205246788593
categorical__Main Cause_flash floods in lohit river,0.00010028430815306214
"categorical__Main Cause_heavy rains, flash flood as a result of cloud burst",9.950747439083713e-05
"categorical__Main Cause_heavy rains, cloud burst,  floods",9.937007112474286e-05
"categorical__Main Cause_flash flood(brahmaputra,its tributaries)",9.931061683395346e-05
"categorical__Main Cause_severe flood (jiadhal,semen)",9.882933176201665e-05
"categorical__Main Cause_heavy rains & floods (krishna,godavari rivers)",9.705163015663108e-05
categorical__Main Cause_heavy rains & flood in mahananda river,9.671704447136995e-05
"categorical__Main Cause_flash flood (jhelum, chenab)",9.5433140497121e-05
categorical__Main Cause_moderate (tunga river),9.466312675345518e-05
"categorical__Main Cause_heavy rains & floods in sharada, rapti, sharayu & ghagara river",8.612891082629409e-05
"categorical__Main Cause_severe flood (ganga,its tributaries)",8.362778439327656e-05
"categorical__Main Cause_flood (mahanadi,its tributaries)",8.249591805057506e-05
"categorical__Main Cause_heavy rains, (flooding of tawi river.)",8.165857235509904e-05
"categorical__Main Cause_heavy rains, flash floods & landslide",8.108103447241034e-05
categorical__Main Cause_updated report not yet received,8.104824402406269e-05
"categorical__Main Cause_severe (godavari, manjira, lendi,manya)",8.084551766252366e-05
categorical__Main Cause_heavy rains & flash floods,7.929851047758997e-05
categorical__Main Cause_flood (ganga),7.788117532779156e-05
categorical__Main Cause_flood (krishnavati),7.667455865998397e-05
categorical__Main Cause_narmada river in spate,7.546814630731613e-05
categorical__Main Cause_heavy rains & floods in ghagara river,7.218223657785807e-05
categorical__Main Cause_heavy rains & flash flood as a result of cloud burst,7.147214687120336e-05
categorical__Main Cause_unprecedented heavy rains & floods,7.083978402927636e-05
categorical__Main Cause_belgaum,7.014969696674434e-05
categorical__Main Cause_severe (flash floods),6.953115312400509e-05
